id	name	keyword
1	城市积水最长排干时间	排干时间
2	积水内涝点密度	内涝点
3	城市内涝防治达标率	内涝防治达标
4	城市防洪达标率	防洪达标
5	城市应急排涝能力达标率	排涝能力达标
6	现存易涝区域处置率	易涝区域处置
7	易涝风险区域智慧化覆盖率	风险区域智慧化
8	市政排水管网智能化监测率	排水管网智能化
9	海绵城市建设目标达到建成区面积比例	海绵城市建设目标
10	城市可渗透地面面积比例	可渗透
11	人均应急避难场所面积	应急避难场所
12	年平均地面沉降量	地面沉降
13	经过治理的地质灾害隐患点数量	地质灾害隐患点
14	地下水水位	地下水水位
15	人均城市大型公共设施具备应急改造的条件的面积	应急改造
16	减灾示范社区比例	减灾示范社区
17	消防救援五分钟可达覆盖率	消防救援五分钟
18	城市公共消防基础设施完好率	消防基础设施
19	城市各类管网普查建档率	管网普查
20	城市窨井盖完好率	窨井盖
21	城市重要管网监测监控覆盖率	管网监测
22	超高层建筑数量	高层建筑
23	城市每万人年度较大建设事故发生数	建设事故
24	区域开发强度	开发强度
25	城市传统商贸批发市场聚集程度	市场聚集
26	每万人口拥有公共卫生人员数	公共卫生人员
27	每千人医疗卫生机构床位数	卫生机构床位
28	医生数量	医生
29	精神健康风险	精神健康
30	婴儿死亡率	婴儿
31	建成区公厕设置密度	公厕
32	社区卫生服务中心门诊分担率	门诊分担
33	城市二级以上医院覆盖率	医院覆盖
34	高密度医院占比	高密度医院
35	城市医疗废物处理能力	医疗废物
36	万车死亡率	车死亡
37	道路事故死亡率	道路事故
38	城市常住人口平均单程通勤时间	单程通勤时间
39	居住区停车泊位与小汽车拥有量的比例	小汽车拥有量
40	建成区高峰时间平均机动车速度	高峰时间
41	社区巡逻	巡逻
42	轻罪比例	轻罪
43	暴力犯罪比例	暴力
44	盗窃率	盗窃
45	凶杀率	凶杀
46	刑事案件发案率	刑事
47	警察服务的可靠性	警察
48	城市居民最低生活保障标准占上年度城市居民人均消费支出比例	消费支出
49	房租收入比	房租
50	房价收入比	房价
51	城镇登记失业率	失业
